symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
AAPL,1998-01-26,0.173549,0.174665,0.167969,0.173549,0.149971,146440000.0,146440000.0,0.0,0.0,0.17206,January 26, 98,0.0
AAPL,1998-01-23,0.172991,0.175781,0.171875,0.174107,0.150453,233161600.0,233161600.0,0.00112,0.647,0.17392,January 23, 98,0.00647
AAPL,1998-01-22,0.166853,0.176339,0.166295,0.171875,0.148524,329728000.0,329728000.0,0.00502,3.009,0.1715,January 22, 98,0.03009
AAPL,1998-01-21,0.167411,0.170201,0.165737,0.168806,0.145872,190209600.0,190209600.0,0.0014,0.836,0.16825,January 21, 98,0.00836
AAPL,1998-01-20,0.170201,0.172433,0.166295,0.170201,0.147077,241561600.0,241561600.0,0.0,0.0,0.16964,January 20, 98,0.0
AAPL,1998-01-16,0.173549,0.173549,0.166853,0.167969,0.145148,246355200.0,246355200.0,-0.00558,-3.215,0.16946,January 16, 98,-0.03215
AAPL,1998-01-15,0.171317,0.176339,0.166295,0.171317,0.148042,559272000.0,559272000.0,0.0,0.0,0.17132,January 15, 98,0.0
AAPL,1998-01-14,0.177455,0.178013,0.171875,0.176339,0.152382,589265600.0,589265600.0,-0.00112,-0.631,0.17541,January 14, 98,-0.00631
AAPL,1998-01-13,0.166295,0.175223,0.165179,0.174107,0.150453,636854400.0,636854400.0,0.00781,4.696,0.1715,January 13, 98,0.04696
AAPL,1998-01-12,0.155692,0.166295,0.152902,0.162946,0.140808,516398400.0,516398400.0,0.00725,4.657,0.16071,January 12, 98,0.04657
AAPL,1998-01-09,0.16183,0.172991,0.15625,0.162388,0.140326,886547200.0,886547200.0,0.00056,0.346,0.16388,January 09, 98,0.00346
AAPL,1998-01-08,0.155692,0.166295,0.151228,0.162388,0.140326,774020800.0,774020800.0,0.0067,4.303,0.15997,January 08, 98,0.04303
AAPL,1998-01-07,0.167969,0.169643,0.154576,0.15625,0.135022,1041622400.0,1041622400.0,-0.01172,-6.977,0.16016,January 07, 98,-0.06977
AAPL,1998-01-06,0.142299,0.178571,0.131696,0.169085,0.146113,1812473600.0,1812473600.0,0.02679,18.827,0.15978,January 06, 98,0.18827
AAPL,1998-01-05,0.147321,0.147879,0.135603,0.141741,0.122484,651873600.0,651873600.0,-0.00558,-3.788,0.14174,January 05, 98,-0.03788
AAPL,1998-01-02,0.121652,0.145089,0.120536,0.145089,0.125377,718110400.0,718110400.0,0.02344,19.268,0.1369,January 02, 98,0.19268
AAPL,1997-12-31,0.117188,0.121652,0.115513,0.117188,0.101266,406358400.0,406358400.0,0.0,0.0,0.11812,December 31, 97,0.0
AAPL,1997-12-30,0.116071,0.119978,0.113839,0.117746,0.101749,342507200.0,342507200.0,0.00168,1.447,0.11719,December 30, 97,0.01447
AAPL,1997-12-29,0.118862,0.119978,0.114955,0.117188,0.101266,278196800.0,278196800.0,-0.00167,-1.405,0.11737,December 29, 97,-0.01405
AAPL,1997-12-26,0.116629,0.11942,0.116071,0.118862,0.102713,107878400.0,107878400.0,0.00223,1.912,0.11812,December 26, 97,0.01912
AAPL,1997-12-24,0.116071,0.118304,0.116071,0.117188,0.101266,97832000.0,97832000.0,0.00112,0.965,0.11719,December 24, 97,0.00965
AAPL,1997-12-23,0.117188,0.118862,0.115513,0.115513,0.09982,458830400.0,458830400.0,-0.00167,-1.425,0.11663,December 23, 97,-0.01425
AAPL,1997-12-22,0.123884,0.125,0.117746,0.118862,0.102713,159476800.0,159476800.0,-0.00502,-4.052,0.12054,December 22, 97,-0.04052
AAPL,1997-12-19,0.121094,0.123884,0.118304,0.12221,0.105606,190612800.0,190612800.0,0.00112,0.925,0.12147,December 19, 97,0.00925
AAPL,1997-12-18,0.125,0.125,0.122768,0.123326,0.106571,202048000.0,202048000.0,-0.00167,-1.336,0.1237,December 18, 97,-0.01336
AAPL,1997-12-17,0.12779,0.130022,0.124442,0.124442,0.107535,265294400.0,265294400.0,-0.00335,-2.621,0.1263,December 17, 97,-0.02621
