label,high,low,open,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime
85.997498,86.402496,83.002502,83.035004,85.84272,147712400.0,147712400.0,2.96249,3.568,85.13417,0.03568
83.364998,83.400002,81.830002,82.5625,83.214958,95654400.0,95654400.0,0.8025,0.972,82.865,0.00972
82.875,82.9375,80.807503,80.837502,82.725845,137250400.0,137250400.0,2.0375,2.52,82.20667,0.0252
80.580002,81.404999,80.195,81.097504,80.434975,87560400.0,87560400.0,-0.5175,-0.638,80.72667,-0.00638
81.279999,81.550003,80.574997,81.165001,81.133713,104491200.0,104491200.0,0.115,0.142,81.135,0.00142
80.834999,80.860001,79.732498,80.1875,80.689514,87642800.0,87642800.0,0.6475,0.807,80.47583,0.00807
80.462502,80.587502,79.302498,79.4375,80.317688,80791200.0,80791200.0,1.025,1.29,80.1175,0.0129
79.485001,80.287498,79.1175,79.8125,79.341949,153598000.0,153598000.0,-0.3275,-0.41,79.63,-0.0041
79.5625,80.860001,78.907501,79.192497,79.419304,133560800.0,133560800.0,0.37,0.467,79.77667,0.00467
79.527496,79.677498,78.272499,79.035004,79.384369,112945200.0,112945200.0,0.49249,0.623,79.15916,0.00623
79.182503,81.059998,79.125,80.875,79.039993,125522000.0,125522000.0,-1.6925,-2.093,79.78917,-0.02093
79.722504,79.807503,78.837502,78.942497,79.579025,81803200.0,81803200.0,0.78001,0.988,79.45584,0.00988
79.212502,80.222504,78.967499,79.665001,79.069939,102688800.0,102688800.0,-0.4525,-0.568,79.4675,-0.00568
79.807503,79.879997,79.129997,79.169998,79.663872,111504800.0,111504800.0,0.6375,0.805,79.60583,0.00805
78.285004,79.629997,78.252502,78.7575,78.144112,101729600.0,101729600.0,-0.4725,-0.6,78.7225,-0.006
78.739998,79.125,77.580002,78.292503,78.598282,135372400.0,135372400.0,0.4475,0.572,78.48167,0.00572
76.927498,76.974998,75.052498,75.087502,76.789047,166348400.0,166348400.0,1.84,2.45,76.31833,0.0245
77.385002,77.447502,75.3825,76.127502,77.245728,158929200.0,158929200.0,1.2575,1.652,76.73833,0.01652
76.912498,78.987503,75.802498,78.037498,76.774071,200622400.0,200622400.0,-1.125,-1.442,77.23417,-0.01442
77.852501,79.922501,77.727501,79.457497,77.712387,162301200.0,162301200.0,-1.605,-2.02,78.50083,-0.0202
78.752502,79.262497,76.809998,77.025002,78.610764,145946400.0,145946400.0,1.7275,2.243,78.275,0.02243
77.532501,77.587502,76.072502,76.410004,77.39296,134048000.0,134048000.0,1.1225,1.469,77.06417,0.01469
75.934998,76.292503,75.4925,75.805,75.593697,115215200.0,115215200.0,0.13,0.171,75.90667,0.00171
75.157501,75.809998,74.717499,75.114998,74.819695,142333600.0,142333600.0,0.0425,0.057,75.22833,0.00057
74.389999,75.25,73.614998,73.764999,74.055649,147751200.0,147751200.0,0.625,0.847,74.41833,0.00847
73.290001,73.422501,71.580002,72.292503,72.960594,133568000.0,133568000.0,0.9975,1.38,72.76417,0.0138
72.267502,74.75,71.462502,71.5625,71.942688,240616800.0,240616800.0,0.705,0.985,72.82667,0.00985
73.449997,73.6325,72.087502,72.489998,73.119873,183064000.0,183064000.0,0.96,1.324,73.05667,0.01324
71.932503,72.417503,70.972504,71.182503,71.6092,137280800.0,137280800.0,0.75,1.054,71.77417,0.01054
69.644997,71.457497,69.550003,71.269997,69.33197,112004800.0,112004800.0,-1.625,-2.28,70.2175,-0.0228
